Date,Open,High,Low,Close,Volume
2017-12-01,1172.05,1179.65,1152.0,1162.35,4107094
2017-12-04,1173.85,1175.2,1128.0,1133.95,5931915
2017-12-05,1128.26,1159.27,1124.74,1141.57,4079774
2017-12-06,1137.99,1155.89,1136.08,1152.35,2853316
2017-12-07,1156.59,1163.19,1151.0,1159.79,2511569
2017-12-08,1170.4,1172.79,1157.1,1162.0,3050074
2017-12-11,1164.6,1169.9,1157.0,1168.92,2363473
2017-12-12,1166.51,1173.6,1161.61,1165.08,2235892
2017-12-13,1170.0,1170.87,1160.27,1164.13,2616760
2017-12-14,1163.71,1177.93,1162.45,1174.26,3214337
2017-12-15,1179.03,1182.75,1169.33,1179.14,4778621
2017-12-18,1187.37,1194.78,1180.91,1190.58,2947625
2017-12-19,1189.15,1192.97,1179.14,1187.38,2587792
2017-12-20,1190.5,1191.0,1176.0,1177.62,2371166
2017-12-21,1175.9,1179.17,1167.64,1174.76,2123117
2017-12-22,1172.08,1174.62,1167.83,1168.36,1585054
2017-12-26,1168.36,1178.32,1160.55,1176.76,2005187
2017-12-27,1179.91,1187.29,1175.61,1182.26,1867208
2017-12-28,1189.0,1190.1,1184.38,1186.1,1841676
2017-12-29,1182.35,1184.0,1167.5,1169.47,2688391
2018-01-02,1172.0,1190.0,1170.51,1189.01,2694494
2018-01-03,1188.3,1205.49,1188.3,1204.2,3108793
2018-01-04,1205.0,1215.87,1204.66,1209.59,3022089
2018-01-05,1217.51,1229.14,1210.0,1229.14,3544743
2018-01-08,1236.0,1253.08,1232.03,1246.87,4279475
2018-01-09,1256.9,1259.33,1241.76,1252.7,3661316
2018-01-10,1245.15,1254.33,1237.23,1254.33,2686017
2018-01-11,1259.74,1276.77,1256.46,1276.68,3125048
2018-01-12,1273.39,1305.76,1273.39,1305.2,5443730
2018-01-16,1323.0,1339.94,1292.3,1304.86,7220701
2018-01-17,1312.24,1314.0,1280.88,1295.0,5253754
2018-01-18,1293.95,1304.6,1284.02,1293.32,4026915
2018-01-19,1312.0,1313.0,1292.99,1294.58,4578536
2018-01-22,1297.17,1327.45,1296.66,1327.31,4140061
2018-01-23,1338.09,1364.9,1337.34,1362.54,5169306
2018-01-24,1374.82,1388.16,1338.0,1357.51,6807457
2018-01-25,1368.0,1378.34,1357.62,1377.95,4753012
2018-01-26,1392.01,1402.53,1380.91,1402.05,4857310
2018-01-29,1409.18,1431.39,1400.44,1417.68,5701898
2018-01-30,1403.17,1439.25,1392.0,1437.82,5871942
2018-01-31,1451.3,1472.58,1450.04,1450.89,6424693
2018-02-01,1445.0,1459.88,1385.14,1390.0,9113808
2018-02-02,1477.39,1498.0,1414.0,1429.95,11125722
2018-02-05,1402.62,1458.98,1320.72,1390.0,11494985
2018-02-06,1361.46,1443.99,1351.79,1442.84,11066819
2018-02-07,1449.0,1460.99,1415.15,1416.78,7162741
2018-02-08,1429.68,1433.75,1349.94,1350.5,8578557
2018-02-09,1373.49,1383.5,1265.93,1339.6,14141524
2018-02-12,1364.67,1393.81,1344.01,1386.23,6738944
2018-02-13,1385.93,1419.72,1383.53,1414.51,5917879
2018-02-14,1406.25,1452.06,1403.36,1451.05,5959209
2018-02-15,1466.89,1468.94,1436.84,1461.76,5652736
2018-02-16,1457.37,1465.8,1446.56,1448.69,4472564
2018-02-20,1446.49,1488.77,1446.49,1468.35,6499228
2018-02-21,1485.0,1503.49,1478.92,1482.92,6304351
2018-02-22,1495.36,1502.54,1475.76,1485.34,4858063
2018-02-23,1495.34,1500.0,1486.5,1500.0,4418103
2018-02-26,1509.2,1522.84,1507.0,1521.95,4954988
2018-02-27,1524.5,1526.78,1507.21,1511.98,4808776
2018-02-28,1519.51,1528.7,1512.0,1512.45,4515023
